,rank,feature,importance,cum_imp
17,0,Product_Category_1,0.5761083273263806,0.5761083273263806
16,1,prod_cat_1_ord,0.28323162540064756,0.8593399527270282
15,2,Product_Category_2_X_prod_cat_1_ord,0.01827446937893179,0.8776144221059601
14,3,prod_cat_1_ord_X_prod_cat_2_ord,0.018051395329776513,0.8956658174357366
13,4,Age_X_occupation_ord,0.013141637942193229,0.9088074553779298
12,5,Product_Category_1_X_Product_Category_2,0.012130800136160712,0.9209382555140906
11,6,Occupation_X_stay_city_ord,0.01106009432930362,0.9319983498433942
10,7,Occupation_X_prod_cat_1_ord,0.00980052813831107,0.9417988779817054
9,8,prod_cat_2_ord_X_prod_cat_3_ord,0.008650773656207408,0.9504496516379127
8,9,Product_Category_2_X_Product_Category_3,0.008632566414115337,0.9590822180520281
7,10,prod_cat_1_ord_X_prod_cat_3_ord,0.0075507238283599966,0.9666329418803881
6,11,City_Category_X_prod_cat_2_ord,0.007465627146424293,0.9740985690268124
5,12,Age_X_City_Category,0.0064204638656180325,0.9805190328924304
4,13,Product_Category_1_X_Product_Category_3,0.005432238525639518,0.9859512714180699
3,14,Product_Category_3_X_prod_cat_1_ord,0.005047572358531237,0.9909988437766012
2,15,prod_cat_3_ord,0.003288421572727706,0.9942872653493289
1,16,city_cat_ord_X_prod_cat_1_ord,0.0029703180515915162,0.9972575834009204
0,17,City_Category_X_Product_Category_3,0.002742416599079738,1.0000000000000002
