,rank,feature,importance,cum_imp
159,0,Product_Category_1,0.5150948278683973,0.5150948278683973
158,1,Product_Category_1_X_prod_cat_1_ord,0.28406220455178055,0.7991570324201779
157,2,prod_cat_1_ord,0.12479227235647938,0.9239493047766573
156,3,Product_Category_3_X_prod_cat_1_ord,0.013263780140685293,0.9372130849173426
155,4,Product_Category_1_X_prod_cat_3_ord,0.009282314973771398,0.946495399891114
154,5,prod_cat_1_ord_X_prod_cat_3_ord,0.007577192382113766,0.9540725922732277
153,6,Product_Category_1_X_prod_cat_2_ord,0.004618068103131513,0.9586906603763592
152,7,prod_cat_1_ord_X_prod_cat_2_ord,0.004351763553619974,0.9630424239299792
151,8,Product_Category_1_X_Product_Category_2,0.0031216023460292693,0.9661640262760085
150,9,City_Category_X_prod_cat_1_ord,0.002783257366687502,0.968947283642696
149,10,City_Category_X_prod_cat_2_ord,0.002685839604222385,0.9716331232469184
148,11,Product_Category_3_X_prod_cat_3_ord,0.0024973344707569013,0.9741304577176754
147,12,Product_Category_1_X_Product_Category_3,0.002255501087402753,0.9763859588050782
146,13,Product_Category_2_X_prod_cat_1_ord,0.0021031468949380934,0.9784891057000162
145,14,Product_Category_2_X_prod_cat_3_ord,0.0019901724649971095,0.9804792781650133
144,15,Product_Category_2_X_Product_Category_3,0.0019317386514090566,0.9824110168164224
143,16,Product_Category_3_X_prod_cat_2_ord,0.0013978258615536606,0.9838088426779761
142,17,Age_X_City_Category,0.0012489364418756567,0.9850577791198517
141,18,Gender_X_prod_cat_2_ord,0.0010868463156606183,0.9861446254355123
140,19,Gender_X_Product_Category_1,0.0010827706888186044,0.9872273961243309
139,20,prod_cat_2_ord_X_prod_cat_3_ord,0.0009802461780955938,0.9882076423024264
138,21,Product_Category_2_X_prod_cat_2_ord,0.0008909367348820098,0.9890985790373085
137,22,Occupation_X_City_Category,0.00088035416386181,0.9899789332011703
136,23,Gender_X_prod_cat_1_ord,0.000857626894993293,0.9908365600961635
135,24,Occupation_X_prod_cat_1_ord,0.0005410675884048966,0.9913776276845684
134,25,City_Category_X_Product_Category_1,0.0004977127310337204,0.9918753404156021
133,26,Product_Category_2,0.0004057862418715601,0.9922811266574737
132,27,occupation_d19,0.00031487264269261446,0.9925959993001663
131,28,Age_X_Product_Category_1,0.0003131327210383537,0.9929091320212047
130,29,Occupation_X_Product_Category_2,0.0002736304861824721,0.9931827625073871
129,30,Occupation_X_city_cat_ord,0.00027015729204821676,0.9934529197994354
128,31,Product_Category_1_X_age_ord,0.00026763247993122255,0.9937205522793666
127,32,Occupation_X_Product_Category_1,0.0002556696615607067,0.9939762219409273
126,33,age_ord_X_stay_city_ord,0.00025102617623976037,0.994227248117167
125,34,Age_X_Product_Category_2,0.00023688821424389185,0.994464136331411
124,35,Product_Category_1_X_occupation_ord,0.00023304021957610717,0.9946971765509871
123,36,Occupation_X_stay_city_ord,0.0002003159954497595,0.9948974925464369
122,37,Product_Category_1_X_city_cat_ord,0.0001949738532629162,0.9950924663996998
121,38,age_ord_X_prod_cat_1_ord,0.0001854222963768661,0.9952778886960767
120,39,Marital_Status_X_occupation_ord,0.00018353870742861378,0.9954614274035053
119,40,Age_X_Occupation,0.0001759181072356277,0.9956373455107409
118,41,Occupation_X_Stay_In_Current_City_Years,0.0001745099502622683,0.9958118554610031
117,42,Stay_In_Current_City_Years_X_prod_cat_3_ord,0.00016758320482032323,0.9959794386658235
116,43,occupation_ord_X_prod_cat_3_ord,0.00016503770918915964,0.9961444763750127
115,44,Age_X_Stay_In_Current_City_Years,0.0001510377140218748,0.9962955140890346
114,45,Product_Category_3_X_age_ord,0.00015094927547093656,0.9964464633645056
113,46,Product_Category_1_X_stay_city_ord,0.00015083023671608764,0.9965972936012217
112,47,Product_Category_3_X_occupation_ord,0.00013912883609119536,0.996736422437313
111,48,City_Category_X_occupation_ord,0.00013352473365587286,0.9968699471709689
