,rank,feature,importance,cum_imp
38,0,Product_Category_1,0.6294531718455604,0.6294531718455604
37,1,prod_cat_1_ord,0.2732213158237241,0.9026744876692845
36,2,Product_Category_2_X_Product_Category_1,0.018960584563043528,0.921635072232328
35,3,prod_cat_1_ord_X_prod_cat_3_ord,0.016400895074422068,0.9380359673067501
34,4,Product_Category_3_X_prod_cat_1_ord,0.013681759053990921,0.951717726360741
33,5,prod_cat_1_ord_X_Product_Category_2,0.012392232562328404,0.9641099589230694
32,6,prod_cat_1_ord_X_prod_cat_2_ord,0.009320792949040329,0.9734307518721097
31,7,Product_Category_3_X_Product_Category_1,0.006741732027030042,0.9801724838991397
30,8,prod_cat_2_ord_X_City_Category,0.004399059302893141,0.9845715432020329
29,9,Product_Category_3_X_Product_Category_2,0.0028471969491535506,0.9874187401511865
28,10,prod_cat_2_ord_X_prod_cat_3_ord,0.0023024211023383143,0.9897211612535248
27,11,Age_X_City_Category,0.0017659809790728199,0.9914871422325976
26,12,prod_cat_3_ord,0.001331209348152161,0.9928183515807497
25,13,Occupation_X_City_Category,0.0006942803864637092,0.9935126319672134
24,14,Product_Category_1_X_city_cat_ord,0.000452164074460259,0.9939647960416736
23,15,Occupation_X_stay_city_ord,0.0004221912537796415,0.9943869872954533
22,16,stay_city_ord_X_occupation_ord,0.00040637975878688923,0.9947933670542402
21,17,Product_Category_3_X_Occupation,0.00037175718417519556,0.9951651242384153
20,18,Product_Category_3_X_City_Category,0.00034386110893635044,0.9955089853473517
19,19,age_ord_X_occupation_ord,0.0003336524385291501,0.9958426377858808
18,20,Age_X_occupation_ord,0.0003333559942491598,0.9961759937801299
17,21,age_ord_X_Occupation,0.0003188222203836853,0.9964948160005136
16,22,Stay_In_Current_City_Years_X_occupation_ord,0.0002974711614908241,0.9967922871620044
15,23,Product_Category_3_X_Stay_In_Current_City_Years,0.0002909384378692412,0.9970832255998736
14,24,Product_Category_1_X_City_Category,0.0002845806105602648,0.9973678062104339
13,25,Age_X_Stay_In_Current_City_Years,0.00025729930061225986,0.9976251055110461
12,26,occupation_ord_X_city_cat_ord,0.0002563200278280194,0.9978814255388742
11,27,Product_Category_3_X_Age,0.0002493229673354422,0.9981307485062096
10,28,Gender_X_Product_Category_1,0.00024319206514292256,0.9983739405713525
9,29,occupation_ord_X_Marital_Status,0.0002390427586680314,0.9986129833300206
8,30,prod_cat_2_ord_X_occupation_ord,0.00020503112021313106,0.9988180144502337
7,31,prod_cat_1_ord_X_occupation_ord,0.0002020697767509292,0.9990200842269846
6,32,Stay_In_Current_City_Years_X_Product_Category_1,0.0001787957211277414,0.9991988799481124
5,33,Occupation_X_city_cat_ord,0.00015452226438697353,0.9993534022124994
4,34,Stay_In_Current_City_Years_X_Marital_Status,0.00015008905259399942,0.9995034912650933
3,35,Age_X_stay_city_ord,0.0001404892679514537,0.9996439805330447
2,36,Occupation_X_Stay_In_Current_City_Years,0.00012838459393802408,0.9997723651269828
1,37,Age_X_prod_cat_3_ord,0.0001186513340672644,0.99989101646105
0,38,age_ord_X_prod_cat_2_ord,0.0001089835389497644,0.9999999999999998
