,User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
0,1004122,P00238542,M,18-25,19,C,4+,0,5,14.0,,3522
2,1002931,P00042842,M,18-25,4,B,2,0,5,,,3456
3,1003808,P00195342,M,26-35,7,A,2,1,2,5.0,,13288
4,1004950,P0099242,M,26-35,16,A,1,1,8,14.0,,5915
5,1003736,P00210042,M,36-45,1,C,1,1,8,14.0,,5841
6,1000264,P0094342,M,36-45,0,B,1,1,4,5.0,18.0,1411
7,1001665,P00346142,M,46-50,17,B,2,0,1,15.0,,7703
8,1005254,P00157642,M,18-25,4,C,1,1,1,14.0,16.0,12056
9,1001680,P00329742,M,26-35,20,A,3,1,6,16.0,,20506
11,1000370,P00240442,M,18-25,17,C,3,0,6,16.0,,12306
13,1000044,P00113142,M,46-50,17,B,3,1,1,5.0,12.0,15853
14,1004985,P00054242,M,36-45,0,C,3,0,1,6.0,14.0,12068
15,1001354,P00192542,F,26-35,2,B,3,0,1,2.0,9.0,8138
16,1003693,P00035542,M,26-35,15,B,1,1,3,4.0,12.0,10586
17,1000872,P00304142,M,51-55,1,B,3,1,5,11.0,,5201
18,1004117,P00000642,M,18-25,4,B,4+,0,1,6.0,16.0,19150
20,1001193,P00238442,M,26-35,12,C,3,1,6,,,12497
21,1003971,P00135742,F,18-25,4,B,0,0,6,8.0,,16226
22,1000466,P00118742,M,26-35,5,A,2,0,5,11.0,,8864
23,1001805,P00282642,M,18-25,4,C,0,0,5,,,8851
26,1001051,P00218242,F,26-35,0,A,0,1,5,8.0,,5476
28,1004788,P00329342,M,36-45,7,B,4+,0,5,,,5475
29,1002796,P00000142,M,26-35,14,B,3,0,3,4.0,5.0,8083
30,1001050,P00125942,M,26-35,1,B,1,0,1,2.0,15.0,11787
31,1000727,P00156442,M,36-45,11,B,4+,1,8,,,8129
32,1002378,P00042542,M,26-35,3,C,1,1,1,5.0,,11435
36,1004250,P00034742,F,51-55,0,C,4+,1,5,14.0,17.0,8907
40,1000714,P00210642,M,18-25,4,B,2,0,8,14.0,,9737
41,1002153,P0095242,M,18-25,16,B,3,0,4,5.0,,1457
42,1003484,P00100442,M,18-25,4,C,1,0,2,4.0,5.0,9964
43,1003193,P00101842,M,26-35,0,C,4+,1,6,16.0,,20668
44,1002452,P00312742,M,46-50,7,B,0,0,15,,,12835
45,1005050,P00059442,F,18-25,4,C,1,0,6,8.0,16.0,20138
46,1001120,P00274142,M,18-25,4,A,0,1,1,,,15629
47,1005302,P00282142,F,0-17,10,A,1,0,3,4.0,,8183
49,1003518,P00162642,F,18-25,7,A,2,0,5,8.0,,5409
50,1001561,P00148642,F,18-25,4,C,2,0,6,10.0,13.0,12323
51,1001377,P00103042,M,36-45,16,B,3,1,1,14.0,,11680
52,1004879,P00183042,M,26-35,3,A,2,0,15,16.0,,8925
53,1004012,P00025442,M,18-25,4,C,0,0,1,2.0,9.0,19373
54,1002219,P00213242,M,26-35,6,C,3,0,5,8.0,,7170
55,1001069,P00003442,M,26-35,20,A,4+,0,4,5.0,8.0,3479
56,1005014,P00059442,M,46-50,0,C,0,1,6,8.0,16.0,20670
57,1004718,P00205442,M,36-45,7,C,1,1,5,8.0,14.0,7032
58,1005222,P00299142,M,26-35,12,B,1,0,5,,,3728
59,1003401,P00288342,M,36-45,7,B,1,0,8,,,7847
60,1003365,P00257542,M,51-55,17,C,3,1,5,,,8766
61,1004215,P00148342,M,26-35,7,A,2,0,5,,,5391
62,1001227,P00354142,M,51-55,1,B,2,0,6,8.0,,16036
63,1005483,P00289242,F,26-35,6,B,3,0,1,8.0,,11407
64,1000536,P00183942,M,26-35,20,C,1,0,3,4.0,,11027
65,1000284,P00063242,M,26-35,12,B,3,1,13,,,392
67,1004407,P00159842,M,18-25,4,A,1,0,1,16.0,,11518
69,1005106,P00289942,F,36-45,1,C,3,1,3,4.0,5.0,13692
70,1000964,P00102242,M,26-35,7,B,1,1,8,12.0,,5867
71,1003688,P00294442,M,18-25,6,B,1,0,3,4.0,12.0,10620
72,1000822,P00326842,F,26-35,1,B,0,1,5,8.0,,5280
73,1004007,P00123742,M,36-45,12,A,1,1,11,,,3153
75,1004524,P00073842,M,26-35,2,A,2,1,1,15.0,17.0,15343
76,1002849,P00087642,M,46-50,11,A,3,0,5,14.0,,6940
